GENE_SYMBOL,ctrl,ctrl,ctrl,mod,mod,mod
TRIM66,6.135085967,6.218601001,6.164576255,6.203354703,6.080398479,5.924218326
PSMD14,6.415137878,6.703755086,6.77304479,6.986565169,6.416393162,6.324643203
MIR4458HG,6.282002587,6.248591476,6.347956392,6.217105764,6.245525259,6.078142863
BMPR1A,6.513817579,6.497805988,6.648085111,6.148657852,6.326467741,5.996630517
ZNF37BP,8.232191267,8.580514262,8.25072808,8.269737763,8.037472353,7.496842248
ARPC2,10.53415763,10.22284059,10.69722511,9.860128092,9.933959296,10.07685661
SPG20-AS1,6.298409298,6.354116856,6.180803981,6.189584265,6.298278363,6.448322586
NUDT3,8.274537829,8.553483876,8.47061524,8.20165129,7.82083076,8.051181664
PPA1,9.103990209,9.676691269,9.511835909,9.510061902,9.101396037,8.227784317
RNF180,5.85468998,5.903158455,5.7994388,5.79097668,5.812112834,5.774956783
CYP1B1-AS1,6.690965556,6.898717801,7.114894813,6.955085082,6.49284866,8.135749513
SOCS2-AS1,7.386139509,7.204508119,6.622585059,7.264020146,7.709531789,7.0797208
MCF2L,5.85468998,5.926049911,6.020955803,7.11638094,6.145487923,5.959157076
STRN,6.858753475,6.825231203,6.847379363,6.81982307,6.799780976,6.569106721
PCAT19,5.85468998,5.784298227,5.863283267,5.906254625,5.753876715,5.858247127
LMCD1-AS1,5.877025172,5.880002909,5.934162273,5.992622443,5.95378038,6.359799489
FAM200B,7.242758862,6.783409685,7.43278633,7.338188669,7.573695758,7.640136351
CDCA7L,6.213916291,6.409572524,6.304054379,6.229628833,6.454304924,6.24576971
COX5A,11.74795407,12.08753079,12.31023197,12.60527628,11.5094919,11.20244001
ZNF37A,8.823838005,9.110705106,9.396933431,8.049766804,8.567312324,7.788214841
GBP1P1,5.865830106,5.937125414,5.838429243,5.976870596,7.335064765,5.761114825
WDR82,11.27448589,11.1467782,11.15149635,10.77726998,11.05335525,10.6090118
BAIAP2-AS1,6.719721075,7.094560168,6.885356283,6.768779612,6.66550829,6.845247901
Q7Z2X8,7.815406074,7.351841438,7.723319538,7.472493452,7.482116352,8.174779406
GGACT,6.090475095,6.153327337,6.147001052,6.255028288,6.174483166,5.891332024
KANSL1-AS1,8.993502479,10.37289224,8.68670806,10.6496456,8.355675089,11.14927215
CASC15,7.333442768,7.730984283,8.763978168,6.65615902,8.491598252,10.64514308
C8orf46,6.017523953,6.090837995,6.020955803,6.006922777,5.896738564,6.078142863
SETD1B,6.151878803,6.218601001,6.197749982,6.177333808,6.20321485,6.142165115
ATF7IP2,7.922771182,7.960568714,8.486389661,7.327603833,7.720048672,7.252563927
SSB,8.729977499,9.137307693,9.913505983,9.546565131,9.717112084,8.444189559
C11orf74,6.036612896,6.007179145,6.212610734,6.064226621,6.015422684,5.996630517
MLX,7.926130678,7.790543895,7.962346492,8.187023193,7.648696439,8.32496158
CIC,9.396419737,9.379054914,9.109052637,9.333511553,9.633455835,9.832595049
NDUFAF2,7.088500383,7.433716451,7.684753524,7.487650451,7.051861311,6.999798549
SMIM2-AS1,6.913632976,6.946688917,6.666381052,6.636344745,7.086393905,7.106454356
FLJ40288,7.077921843,7.359931362,7.082050012,7.153233377,7.407030862,7.757818476
SNHG20,7.409578711,7.616175869,7.66618331,8.330567936,7.788326722,7.819179943
ZEB1-AS1,6.445771379,6.475420532,6.788564342,6.514516581,6.770819412,6.999798549
MIR503HG,6.264093752,6.291584866,6.244873187,6.304967015,6.311728585,6.394707409
APTR,7.731391669,7.535647413,7.938315113,7.448670788,7.940036586,8.0956569
NASP,6.899408536,6.982431206,6.859534601,6.994442171,6.932197699,6.552559091
LPP,5.971165449,6.186361595,6.147001052,6.148657852,6.298278363,6.119222454
